id,ext_path,geo
11,"北京市","116.405285 39.904989"
1101,"北京市 北京市","116.405285 39.904989"
110101,"北京市 北京市 东城区","116.418757 39.917544"
110102,"北京市 北京市 西城区","116.366794 39.915309"
110105,"北京市 北京市 朝阳区","116.486409 39.921489"
110106,"北京市 北京市 丰台区","116.286968 39.863642"
110107,"北京市 北京市 石景山区","116.195445 39.914601"
110108,"北京市 北京市 海淀区","116.310316 39.956074"
110109,"北京市 北京市 门头沟区","116.105381 39.937183"
110111,"北京市 北京市 房山区","116.139157 39.735535"
110112,"北京市 北京市 通州区","116.658603 39.902486"
110113,"北京市 北京市 顺义区","116.653525 40.128936"
110114,"北京市 北京市 昌平区","116.235906 40.218085"
110115,"北京市 北京市 大兴区","116.338033 39.728908"
110116,"北京市 北京市 怀柔区","116.637122 40.324272"
110117,"北京市 北京市 平谷区","117.112335 40.144783"
110118,"北京市 北京市 密云区","116.843352 40.377362"
110119,"北京市 北京市 延庆区","115.985006 40.465325"
12,"天津市","117.190182 39.125596"
1201,"天津市 天津市","117.190182 39.125596"
120101,"天津市 天津市 和平区","117.195907 39.118327"
120102,"天津市 天津市 河东区","117.226568 39.122125"
120103,"天津市 天津市 河西区","117.217536 39.101897"
120104,"天津市 天津市 南开区","117.164143 39.120474"
120105,"天津市 天津市 河北区","117.201569 39.156632"
120106,"天津市 天津市 红桥区","117.163301 39.175066"
120110,"天津市 天津市 东丽区","117.313967 39.087764"
120111,"天津市 天津市 西青区","117.012247 39.139446"
120112,"天津市 天津市 津南区","117.382549 38.989577"
120113,"天津市 天津市 北辰区","117.13482 39.225555"
120114,"天津市 天津市 武清区","117.057959 39.376925"
120115,"天津市 天津市 宝坻区","117.308094 39.716965"
120116,"天津市 天津市 滨海新区","117.654173 39.032846"
120117,"天津市 天津市 宁河区","117.82828 39.328886"
120118,"天津市 天津市 静海区","116.925304 38.935671"
120119,"天津市 天津市 蓟州区","117.407449 40.045342"
13,"河北省","114.502461 38.045474"
1301,"河北省 石家庄市","114.502461 38.045474"
130102,"河北省 石家庄市 长安区","114.548151 38.047501"
130104,"河北省 石家庄市 桥西区","114.462931 38.028383"
130105,"河北省 石家庄市 新华区","114.465974 38.067142"
130107,"河北省 石家庄市 井陉矿区","114.058178 38.069748"
130108,"河北省 石家庄市 裕华区","114.533257 38.027696"
130109,"河北省 石家庄市 藁城区","114.849647 38.033767"
130110,"河北省 石家庄市 鹿泉区","114.321023 38.093994"
130111,"河北省 石家庄市 栾城区","114.654281 37.886911"
130121,"河北省 石家庄市 井陉县","114.144488 38.033614"
130123,"河北省 石家庄市 正定县","114.569887 38.147835"
130125,"河北省 石家庄市 行唐县","114.552734 38.437422"
130126,"河北省 石家庄市 灵寿县","114.37946 38.306546"
130127,"河北省 石家庄市 高邑县","114.610699 37.605714"
130128,"河北省 石家庄市 深泽县","115.200207 38.18454"
130129,"河北省 石家庄市 赞皇县","114.387756 37.660199"
130130,"河北省 石家庄市 无极县","114.977845 38.176376"
130131,"河北省 石家庄市 平山县","114.184144 38.259311"
130132,"河北省 石家庄市 元氏县","114.52618 37.762514"
130133,"河北省 石家庄市 赵县","114.775362 37.754341"
130171,"河北省 石家庄市 石家庄高新技术产业开发区","EMPTY"
130172,"河北省 石家庄市 石家庄循环化工园区","EMPTY"
130181,"河北省 石家庄市 辛集市","115.217451 37.92904"
130183,"河北省 石家庄市 晋州市","115.044886 38.027478"
130184,"河北省 石家庄市 新乐市","114.68578 38.344768"
1302,"河北省 唐山市","118.175393 39.635113"
130202,"河北省 唐山市 路南区","118.210821 39.615162"
130203,"河北省 唐山市 路北区","118.174736 39.628538"
130204,"河北省 唐山市 古冶区","118.45429 39.715736"
130205,"河北省 唐山市 开平区","118.264425 39.676171"
130207,"河北省 唐山市 丰南区","118.110793 39.56303"
130208,"河北省 唐山市 丰润区","118.155779 39.831363"
130209,"河北省 唐山市 曹妃甸区","118.446585 39.278277"
130224,"河北省 唐山市 滦南县","118.681552 39.506201"
130225,"河北省 唐山市 乐亭县","118.905341 39.42813"
130227,"河北省 唐山市 迁西县","118.305139 40.146238"
130229,"河北省 唐山市 玉田县","117.753665 39.887323"
130271,"河北省 唐山市 唐山市芦台经济技术开发区","EMPTY"
130272,"河北省 唐山市 唐山市汉沽管理区","EMPTY"
130273,"河北省 唐山市 唐山高新技术产业开发区","EMPTY"
130274,"河北省 唐山市 河北唐山海港经济开发区","EMPTY"
130281,"河北省 唐山市 遵化市","117.965875 40.188616"
130283,"河北省 唐山市 迁安市","118.701933 40.012108"
130284,"河北省 唐山市 滦州市","118.699547 39.744851"
1303,"河北省 秦皇岛市","119.586579 39.942531"
130302,"河北省 秦皇岛市 海港区","119.596224 39.943458"
130303,"河北省 秦皇岛市 山海关区","119.753591 39.998023"
130304,"河北省 秦皇岛市 北戴河区","119.486286 39.825121"
130306,"河北省 秦皇岛市 抚宁区","119.240651 39.887053"
130321,"河北省 秦皇岛市 青龙满族自治县","118.954555 40.406023"
130322,"河北省 秦皇岛市 昌黎县","119.164541 39.709729"
130324,"河北省 秦皇岛市 卢龙县","118.881809 39.891639"
130371,"河北省 秦皇岛市 秦皇岛市经济技术开发区","EMPTY"
130372,"河北省 秦皇岛市 北戴河新区","EMPTY"
1304,"河北省 邯郸市","114.490686 36.612273"
130402,"河北省 邯郸市 邯山区","114.484989 36.603196"
130403,"河北省 邯郸市 丛台区","114.494703 36.611082"
130404,"河北省 邯郸市 复兴区","114.458242 36.615484"
130406,"河北省 邯郸市 峰峰矿区","114.209936 36.420487"
130407,"河北省 邯郸市 肥乡区","114.805154 36.555778"
130408,"河北省 邯郸市 永年区","114.496162 36.776413"
130423,"河北省 邯郸市 临漳县","114.610703 36.337604"
130424,"河北省 邯郸市 成安县","114.680356 36.443832"
